BOROUGH,MONTH,REFUSE_TONS_COLLECTED,MGP_TONS_COLLECTED,PAPER_TONS_COLLECTED,RECYCLABLE_TONS_COLLECTED,TOTAL_WASTE_TONS,CAPTURE_RATE
Manhattan,2024 / 01,1261.7,166.7,270.8,437.5,1699.2,0.2574741054613936
Queens,2023 / 07,6821.7,757.8,735.8,1493.6,8315.3,0.17962069919305376
Bronx,2023 / 12,2603.9,348.8,353.3,702.1,3306.0,0.21237144585601936
Bronx,2024 / 01,3389.6,334.1,223.2,557.3,3946.8999999999996,0.14119942233145
Brooklyn,2024 / 03,3985.8,387.4,281.7,669.0999999999999,4654.9,0.14374100410320306
Manhattan,2024 / 09,1347.7,211.1,355.2,566.3,1914.0,0.2958725182863114
Manhattan,2023 / 12,4568.9,479.6,459.3,938.9000000000001,5507.799999999999,0.17046733723083632
Queens,2024 / 01,2639.3,387.0,377.9,764.9,3404.2000000000003,0.22469302626167673
Queens,2023 / 09,3622.3,509.5,314.0,823.5,4445.8,0.18523100454361419
Staten Island,2023 / 11,5382.7,610.1,651.6,1261.7,6644.4,0.18988923002829453
Bronx,2024 / 04,3965.1,315.6,240.0,555.6,4520.7,0.12290132059194374
Staten Island,2023 / 09,5247.5,617.6,542.0,1159.6,6407.1,0.1809867178598742
Queens,2023 / 11,6513.3,837.3,462.2,1299.5,7812.8,0.166329612942863
Brooklyn,2023 / 12,2935.3,267.9,323.4,591.3,3526.6000000000004,0.16766857596551918
Brooklyn,2023 / 12,3068.8,364.3,287.3,651.6,3720.4,0.17514245780023655
Brooklyn,2023 / 11,2919.8,235.6,267.4,503.0,3422.8,0.14695570877644035
Brooklyn,2023 / 12,2774.6,409.7,596.2,1005.9000000000001,3780.5,0.2660759158841423
Bronx,2023 / 11,3774.4,358.9,218.4,577.3,4351.7,0.13266079922788795
Queens,2023 / 09,3738.6,386.8,428.9,815.7,4554.3,0.17910546077333508
Brooklyn,2024 / 02,3650.1,357.8,254.4,612.2,4262.3,0.14363137273303148
Manhattan,2024 / 04,2339.7,158.5,193.7,352.2,2691.8999999999996,0.1308369553103756
Manhattan,2024 / 01,2375.7,188.5,228.9,417.4,2793.1,0.14943969066628476
Queens,2023 / 11,2665.9,353.8,364.3,718.1,3384.0,0.21220449172576833
Queens,2024 / 03,6276.6,846.7,457.9,1304.6,7581.200000000001,0.17208357515960532
Manhattan,2024 / 01,1829.8,287.4,421.6,709.0,2538.8,0.2792657948637151
Queens,2024 / 04,6500.9,748.6,671.0,1419.6,7920.5,0.1792311091471498
Queens,2024 / 01,3055.5,222.0,237.9,459.9,3515.4,0.13082437275985662
