BOROUGH,MONTH,REFUSE_TONS_COLLECTED,MGP_TONS_COLLECTED,PAPER_TONS_COLLECTED,RECYCLABLE_TONS_COLLECTED,TOTAL_WASTE_TONS,CAPTURE_RATE
Bronx,1991 / 01,5154.8,0.0,0.0,0.0,0.0,
Bronx,1991 / 02,14216.2,0.0,0.0,0.0,0.0,
Bronx,1991 / 03,15570.2,0.0,0.0,0.0,0.0,
Bronx,1991 / 04,18912.8,0.0,0.0,0.0,0.0,
Bronx,1991 / 05,40436.3,0.0,0.0,0.0,0.0,
Bronx,1991 / 06,37738.4,0.0,0.0,0.0,0.0,
Bronx,1991 / 07,40654.7,0.0,0.0,0.0,0.0,
Bronx,1991 / 08,39398.7,0.0,0.0,0.0,0.0,
Bronx,1991 / 09,37706.1,0.0,0.0,0.0,0.0,
Bronx,1991 / 10,40223.8,0.0,0.0,0.0,0.0,
Bronx,1991 / 11,39213.0,0.0,0.0,0.0,0.0,
Bronx,1991 / 12,40642.7,0.0,0.0,0.0,0.0,
Bronx,1992 / 01,42042.7,0.0,0.0,0.0,0.0,
Bronx,1992 / 02,38024.2,0.0,0.0,0.0,0.0,
Bronx,1992 / 03,38441.4,0.0,0.0,0.0,0.0,
Bronx,1992 / 04,37995.0,0.0,0.0,0.0,0.0,
Bronx,1992 / 05,40029.9,0.0,0.0,0.0,0.0,
Bronx,1992 / 06,42057.4,0.0,0.0,0.0,0.0,
Bronx,1992 / 07,40425.8,0.0,0.0,0.0,0.0,
Bronx,1992 / 08,39654.2,0.0,0.0,0.0,0.0,
Bronx,1992 / 09,38737.8,0.0,0.0,0.0,0.0,
Bronx,1992 / 10,37828.4,0.0,0.0,0.0,0.0,
Bronx,1992 / 11,38368.0,0.0,0.0,0.0,0.0,
Bronx,1992 / 12,37287.9,0.0,0.0,0.0,0.0,
Bronx,1993 / 01,33852.2,0.0,0.0,0.0,0.0,
Bronx,1993 / 02,29476.600000000002,0.0,0.0,0.0,0.0,
Bronx,1993 / 03,36335.5,0.0,0.0,0.0,0.0,
Bronx,1993 / 04,37527.4,226.79999999999998,314.0,528.6999999999999,31641.600000000002,0.017396057628665803
Bronx,1993 / 05,35714.8,1241.1000000000001,1637.8000000000002,2833.2,32440.2,0.08589492608436469
Bronx,1993 / 06,38360.8,1488.9,1700.3,3136.6000000000004,34883.3,0.0896864509857962
Bronx,1993 / 07,37001.6,1695.6,1716.7,3361.6000000000004,36333.4,0.09031768534386395
Bronx,1993 / 08,36196.7,1148.0,1266.5,2414.5,36648.2,0.06300844371630333
Bronx,1993 / 09,35936.2,759.3000000000001,963.5,1722.8000000000002,10920.2,0.1617349930355709
Bronx,1993 / 10,34535.2,1094.0,1414.6,2508.6000000000004,29590.3,0.08966368979785658
Bronx,1993 / 11,37202.1,1137.6,1404.6,2542.2,39744.299999999996,0.05905147160869186
Bronx,1993 / 12,35701.5,1395.6,1632.0,3027.6,38729.1,0.07833408100136771
Bronx,1994 / 01,34268.299999999996,1262.0,1048.0,2310.0,25842.8,0.08384235735336551
Bronx,1994 / 02,29406.6,912.7,855.0,1767.7,29030.1,0.06491115799056926
Bronx,1994 / 03,37171.0,1361.4,1540.9,2902.3,28387.7,0.09557760299268697
Bronx,1994 / 04,35819.7,1197.4,1390.8000000000002,2588.2,27070.3,0.08733151432637523
Bronx,1994 / 05,35265.4,1154.3,1316.2,2470.5,26582.5,0.08403200399602767
Bronx,1994 / 06,40049.8,1771.0,1970.8,3741.8,43791.6,0.08117719151195288
Bronx,1994 / 07,37781.3,1874.4,1909.9,3784.3,41565.6,0.08726016230696947
Bronx,1994 / 08,40331.5,1794.7,1874.0,3668.7,44000.2,0.07889316253742697
Bronx,1994 / 09,36787.3,1819.6000000000001,2049.4,3869.0,40656.3,0.09120065037105092
Bronx,1994 / 10,37001.0,1652.5,1974.3,3626.8,40627.8,0.08447243947270318
Bronx,1994 / 11,38702.6,1540.8,1943.5,3484.3,42186.9,0.07784640451427148
Bronx,1994 / 12,38214.4,1919.4,2607.0,4526.4,42740.8,0.10314071303708827
Bronx,1995 / 01,35950.9,1691.3,1843.4,3534.7,39485.6,0.08709551331049524
Bronx,1995 / 02,32534.1,1489.1,1588.9,3078.0,35612.1,0.08399695915297378
Bronx,1995 / 03,35877.8,1833.0,2059.9,3892.9,39770.7,0.09515750760959098
Bronx,1995 / 04,34192.7,1659.0,1967.0,3625.9999999999995,37818.700000000004,0.09096155275910413
Bronx,1995 / 05,39393.6,1733.0,1992.9,3725.9,43119.5,0.08132437270771226
Bronx,1995 / 06,38635.1,2023.4,2120.9,4144.3,42779.4,0.09250331665555282
Bronx,1995 / 07,37879.3,1907.1,1774.2,3681.3,41560.6,0.08400752143077554
Bronx,1995 / 08,37701.3,1983.6,1752.3,3735.9,41437.2,0.08626877480724443
Bronx,1995 / 09,36106.9,1857.6,1876.9,3734.5,39841.4,0.08990067011090534
Bronx,1995 / 10,37500.799999999996,1735.5,1961.9,3697.4,41198.2,0.08472360743515427
Bronx,1995 / 11,37763.3,1793.0,2169.2,3962.2,41725.5,0.0889859247023997
Bronx,1995 / 12,34948.0,1768.5,2120.4,3888.9,38836.9,0.09619334793997174
Bronx,1996 / 01,37346.0,1218.3,1310.0,2528.3,39874.3,0.06045519038501098
Bronx,1996 / 02,32813.5,1687.3999999999999,1739.5,3426.9,36240.4,0.09123073184777714
